yr[]	pop[]	stage[]	br[]
2	1	3	1
2	1	3	1
2	1	3	4
2	1	4	1
2	1	4	1
2	1	4	2
2	1	4	3
2	1	4	3
2	1	4	3
2	1	4	4
2	1	4	5
2	1	4	6
2	1	4	6
2	1	4	7
2	1	4	8
2	1	4	9
2	1	4	10
2	1	4	10
2	1	4	12
2	1	5	4
2	1	5	8
2	1	5	9
2	1	5	12
2	1	5	13
2	1	5	17
3	1	3	1
3	1	3	1
3	1	3	1
3	1	3	1
3	1	3	2
3	1	3	2
3	1	3	5
3	1	4	2
3	1	4	4
3	1	4	4
3	1	4	4
3	1	4	6
3	1	4	6
3	1	4	7
3	1	4	7
3	1	4	8
3	1	4	10
3	1	5	1
3	1	5	2
3	1	5	5
3	1	5	7
3	1	5	10
3	1	5	10
3	1	5	10
3	1	5	11
3	1	5	14
3	1	5	15
3	1	5	16
3	1	5	16
4	1	3	1
4	1	3	1
4	1	3	1
4	1	3	1
4	1	3	1
4	1	3	1
4	1	3	2
4	1	3	3
4	1	3	4
4	1	4	1
4	1	4	1
4	1	4	3
4	1	4	3
4	1	4	3
4	1	4	3
4	1	4	3
4	1	4	4
4	1	4	4
4	1	4	7
4	1	5	2
4	1	5	7
4	1	5	8
4	1	5	11
4	1	5	12
4	1	5	13
4	1	5	14
5	1	3	2
5	1	3	2
5	1	3	3
5	1	3	7
5	1	4	1
5	1	4	1
5	1	4	1
5	1	4	1
5	1	4	5
5	1	4	5
5	1	4	6
5	1	4	7
5	1	4	8
5	1	4	11
5	1	5	5
5	1	5	8
5	1	5	13
5	1	5	18
5	1	5	33
6	1	3	1
6	1	3	5
6	1	4	1
6	1	4	1
6	1	4	1
6	1	4	2
6	1	4	2
6	1	4	3
6	1	4	4
6	1	4	4
6	1	4	13
6	1	4	14
6	1	5	4
6	1	5	4
6	1	5	13
6	1	5	18
7	1	3	1
7	1	3	1
7	1	3	1
7	1	3	1
7	1	3	2
7	1	3	2
7	1	4	2
7	1	4	2
7	1	4	3
7	1	4	3
7	1	4	7
7	1	4	11
7	1	5	2
7	1	5	2
7	1	5	3
7	1	5	8
7	1	5	11
7	1	5	17
7	1	5	25
8	1	3	1
8	1	3	1
8	1	3	1
8	1	3	1
8	1	3	2
8	1	3	3
8	1	3	3
8	1	4	1
8	1	4	2
8	1	4	5
8	1	4	7
8	1	4	7
8	1	4	14
8	1	5	1
8	1	5	22
9	1	3	1
9	1	3	1
9	1	4	1
9	1	4	1
9	1	4	2
9	1	4	5
9	1	5	7
10	1	3	1
10	1	3	1
10	1	3	1
10	1	3	2
10	1	3	3
10	1	4	1
10	1	4	1
10	1	4	1
10	1	4	2
10	1	4	2
10	1	4	4
10	1	4	8
10	1	4	11
10	1	5	2
10	1	5	3
10	1	5	4
10	1	5	6
10	1	5	11
10	1	5	18
11	1	3	1
11	1	3	2
11	1	3	4
11	1	4	1
11	1	4	2
11	1	4	2
11	1	4	2
11	1	4	4
11	1	4	5
11	1	4	5
11	1	4	8
11	1	4	8
11	1	5	2
11	1	5	5
11	1	5	7
11	1	5	8
11	1	5	18
11	1	5	29
12	1	3	1
12	1	3	1
12	1	3	2
12	1	3	9
12	1	4	1
12	1	4	1
12	1	4	2
12	1	4	2
12	1	4	4
12	1	4	4
12	1	4	6
12	1	4	9
12	1	4	10
12	1	4	10
12	1	5	4
12	1	5	5
12	1	5	7
12	1	5	9
12	1	5	12
12	1	5	44
13	1	3	1
13	1	3	1
13	1	3	2
13	1	3	9
13	1	4	1
13	1	4	1
13	1	4	2
13	1	4	2
13	1	4	4
13	1	4	4
13	1	4	6
13	1	4	9
13	1	4	10
13	1	4	10
13	1	5	4
13	1	5	5
13	1	5	7
13	1	5	9
13	1	5	12
13	1	5	44
14	1	3	1
14	1	3	1
14	1	3	1
14	1	3	1
14	1	3	1
14	1	3	2
14	1	3	2
14	1	3	2
14	1	3	3
14	1	4	2
14	1	4	2
14	1	4	5
14	1	4	10
14	1	5	1
14	1	5	5
14	1	5	5
14	1	5	18
15	1	3	1
15	1	3	3
15	1	3	4
15	1	3	4
15	1	4	5
15	1	4	7
15	1	4	7
15	1	4	8
15	1	4	8
15	1	4	16
15	1	5	7
15	1	5	10
15	1	5	17
15	1	5	19
15	1	5	23
15	1	5	29
15	1	5	30
16	1	3	1
16	1	3	1
