pop.s[]	yr.s[]	sd[]
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	0
2	7	1
2	7	1
2	7	1
2	7	1
2	7	1
2	7	2
2	7	2
2	7	2
2	7	2
2	7	3
2	7	4
2	7	4
2	7	4
2	7	6
2	7	6
2	7	7
2	7	9
2	7	11
3	7	0
3	7	0
3	7	0
3	7	0
3	7	0
3	7	0
3	7	0
3	7	2
3	7	2
3	7	2
3	7	2
3	7	3
3	7	4
3	7	4
3	7	4
3	7	4
3	7	4
3	7	6
3	7	7
3	7	7
3	7	8
3	7	8
3	7	10
4	7	0
4	7	0
4	7	0
4	7	0
4	7	0
4	7	0
4	7	1
4	7	1
4	7	2
4	7	2
4	7	2
4	7	4
4	7	5
4	7	8
4	7	8
4	7	9
4	7	10
4	7	10
4	7	28
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	0
1	8	1
1	8	1
1	8	4
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	0
2	8	1
2	8	3
2	8	3
3	8	0
3	8	0
3	8	0
3	8	0
3	8	0
3	8	0
3	8	0
3	8	0
3	8	0
3	8	0
3	8	0
3	8	0
3	8	0
3	8	1
3	8	1
3	8	1
3	8	2
3	8	3
3	8	4
3	8	5
3	8	6
4	8	1
4	8	1
4	8	1
4	8	2
4	8	2
4	8	3
4	8	4
4	8	8
1	9	0
1	9	0
1	9	0
1	9	0
1	9	0
1	9	0
1	9	0
1	9	0
1	9	0
1	9	0
1	9	1
1	9	1
1	9	1
1	9	2
1	9	2
1	9	6
2	9	0
2	9	0
2	9	0
2	9	0
2	9	0
2	9	0
2	9	0
2	9	0
2	9	0
2	9	0
2	9	0
2	9	0
2	9	0
2	9	1
2	9	1
2	9	2
2	9	2
2	9	2
2	9	3
2	9	3
2	9	9
4	9	0
4	9	0
4	9	0
4	9	0
4	9	0
4	9	0
4	9	0
4	9	0
4	9	0
4	9	0
4	9	0
4	9	0
4	9	1
4	9	1
4	9	2
4	9	2
4	9	3
4	9	3
4	9	3
4	9	3
3	11	0
3	11	1
3	11	1
3	11	1
3	11	2
3	11	3
3	11	4
3	11	4
3	11	4
3	11	4
3	11	5
3	11	5
3	11	5
3	11	6
3	11	6
3	11	7
3	11	9
3	11	9
3	11	9
3	11	10
3	11	12
3	11	12
3	11	13
3	11	14
3	11	17
3	11	18
3	11	20
3	11	20
3	11	24
3	11	28
4	11	3
4	11	7
4	11	12
4	11	12
4	11	13
4	11	13
4	11	14
4	11	14
4	11	15
4	11	16
4	11	16
4	11	17
4	11	17
4	11	17
4	11	19
4	11	23
4	11	23
4	11	24
4	11	24
4	11	24
4	11	25
4	11	27
4	11	28
4	11	29
4	11	30
4	11	30
4	11	31
4	11	38
4	11	48
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	0
1	12	1
1	12	1
1	12	1
1	12	1
1	12	1
1	12	2
1	12	2
1	12	2
1	12	2
1	12	2
1	12	3
1	12	6
3	12	0
3	12	0
3	12	0
3	12	0
3	12	0
3	12	0
3	12	0
3	12	0
3	12	0
3	12	1
3	12	1
3	12	2
3	12	2
3	12	2
3	12	3
3	12	3
3	12	4
3	12	4
3	12	4
3	12	5
3	12	5
3	12	5
3	12	6
3	12	6
3	12	7
3	12	7
3	12	8
3	12	8
3	12	9
3	12	10
4	12	0
4	12	0
4	12	0
4	12	0
4	12	0
4	12	0
4	12	0
4	12	0
4	12	0
4	12	1
4	12	1
4	12	2
4	12	2
4	12	2
4	12	2
4	12	2
4	12	3
4	12	3
4	12	4
4	12	4
4	12	5
4	12	7
4	12	7
4	12	7
4	12	8
4	12	10
4	12	10
4	12	13
4	12	14
4	12	16
END		
