tsf[,1]  tsf[,2]   tsf[,3]   tsf[,4]   tsf[,5]
4.127134 4.1271344 1.6094379 3.8918203 3.891820
4.143135 4.1431347 1.7917595 3.9120230 3.912023
4.158883 4.1588831 1.9459101 0.0000000 3.931826
4.174387 4.1743873 2.0794415 0.6931472 3.951244
4.189655 4.1896547 2.1972246 1.0986123 3.970292
4.204693 4.2046926 2.3025851 1.3862944 3.988984
4.219508 4.2195077 2.3978953 1.6094379 4.007333
4.234107 4.2341065 2.4849066 1.7917595 4.025352
4.248495 4.2484952 0.0000000 1.9459101 4.043051
4.262680 4.2626799 0.6931472 2.0794415 4.060443
4.276666 0.0000000 1.0986123 2.1972246 4.077537
4.290459 0.6931472 1.3862944 2.3025851 4.094345
4.304065 1.0986123 1.6094379 2.3978953 4.110874
4.317488 1.3862943 1.7917594 2.4849066 4.127134
4.330733 1.6094379 1.9459101 2.5649493 4.143134
4.343805 1.7917594 2.0794415 2.6390573 4.158883
4.356708 1.9459101 2.1972245 2.7080502 4.174387
4.369447 2.0794415 2.3025850 2.7725887 4.189654
4.382026 2.1972245 2.3978952 0.0000000 4.204692
4.394449 2.3025850 2.4849066 0.6931472 4.219508
END

